region,countryname,topic,indicatorname,year,value
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2010,55636
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2010,100
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2010,100
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2010,-1.05488096248578
East Asia & Pacific,American Samoa,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2010,18.7
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2009,100
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2009,100
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2009,-1.42156962758721
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2009,56226
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2008,100
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2008,57031
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2008,-1.51914871757731
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2008,100
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2007,100
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2007,100
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2007,-1.27670070998988
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2007,57904
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2006,58648
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2006,-0.796505718214268
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2006,100
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2006,100
East Asia & Pacific,American Samoa,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2006,4
East Asia & Pacific,American Samoa,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2006,21.6
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2005,-0.244976005061708
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2005,59117
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2005,99.9
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2005,99.9
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2004,59262
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2004,0.244976005061715
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2004,99.4
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2004,99.4
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2003,99
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2003,99
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2003,59117
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2003,0.658488878700854
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2002,98.6
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2002,98.6
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2002,0.946074376140603
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2002,58729
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2001,58176
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2001,1.13054152320993
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2001,98.2
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2001,98.2
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",2000,57522
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),2000,1.31946966358002
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",2000,97.8
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),2000,97.8
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),1999,1.54262957737291
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",1999,56768
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",1999,97.4
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),1999,97.4
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),1998,96.9
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",1998,96.9
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),1998,1.72684075597353
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",1998,55899
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",1997,54942
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),1997,1.86653469759177
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",1997,96.5
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),1997,96.5
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",1996,53926
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),1996,1.97010117196854
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",1996,96.1
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),1996,96.1
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),1995,95.7
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",1995,95.7
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),1995,2.03864493874044
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",1995,52874
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),1994,95.3
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",1994,95.3
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),1994,2.11063895587642
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",1994,51807
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),1993,2.24885376811874
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",1993,50725
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),1993,94.8
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",1993,94.8
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",1992,49597
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),1992,2.48645127606533
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",1992,94.4
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),1992,94.4
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),1991,2.79825012812475
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",1991,48379
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),1991,94
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",1991,94
East Asia & Pacific,American Samoa,Health: Disease prevention,"Improved water source, urban (% of urban population with access)",1990,93.6
East Asia & Pacific,American Samoa,Health: Population: Dynamics,Population growth (annual %),1990,3.13730053692123
East Asia & Pacific,American Samoa,Health: Disease prevention,Improved water source (% of population with access),1990,93.6
East Asia & Pacific,American Samoa,Health: Population: Structure,"Population, total",1990,47044
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2010,2.994
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2010,844.0727216
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2010,1.59463745888026
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2010,393302
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2010,45
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2010,55
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2010,17.499
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2010,79.414
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2010,1.953
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2009,17.809
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2009,766.30796576
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2009,3.001
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2009,387080
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2009,1.63938524772522
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2009,79.041
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2009,53
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2009,43
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2009,1.968
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2008,1.977
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2008,18.07
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2008,53
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2008,43
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2008,2.996
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2008,820.58372564
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2008,78.689
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2008,1.6755219877253
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2008,380786
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2007,18.292
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2007,43
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2007,54
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2007,1.69918538435108
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2007,374459
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2007,2.978
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2007,738.1371667
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2007,1.982
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2007,78.374
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2006,1.986
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2006,45
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2006,56
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2006,18.499
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2006,2.947
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2006,78.103
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2006,680.287436
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2006,368150
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2006,1.71529288437488
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2005,361889
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2005,1.72498560165676
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2005,1.994
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2005,77.874
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2005,2.911
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2005,671.41210724
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2005,46
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2005,57
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2005,18.738
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2004,47
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2004,58
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2004,1.74210404495384
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2004,355700
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2004,2.013
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2004,657.82176241
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2004,77.678
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2004,19.065
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2004,2.88
East Asia & Pacific,Brunei Darussalam,Health: Health services,Health expenditure per capita (current US$),2003,574.83129904
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Birth rate, crude (per 1,000 people)",2003,19.522
East Asia & Pacific,Brunei Darussalam,Health: Reproductive health,"Fertility rate, total (births per woman)",2003,2.049
East Asia & Pacific,Brunei Darussalam,Health: Mortality,"Life expectancy at birth, female (years)",2003,77.498
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2003,48
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2003,59
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,Population growth (annual %),2003,1.78201962174014
East Asia & Pacific,Brunei Darussalam,Health: Population: Structure,"Population, total",2003,349557
East Asia & Pacific,Brunei Darussalam,Health: Population: Dynamics,"Death rate, crude (per 1,000 people)",2003,2.865
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of infant deaths,2002,49
East Asia & Pacific,Brunei Darussalam,Health: Mortality,Number of under-five deaths,2002,60
